timestamp_utc	action	observation_intent
2026-08-28T09:59:41.126845Z tap Q	premature drop before pickup
2026-08-28T09:59:56.165030Z tap Q	drop carried crate as recoverable mistake
2026-08-28T10:00:07.771697Z tap E	recover dropped crate per feedback
2026-08-28T10:00:17.759970Z hold W 1.0s	move view-forward toward cab
2026-08-28T10:00:29.197374Z hold W 0.8s	continue through truck doorway
2026-08-28T10:00:41.249958Z mouse capture + relative +100px X	test coherent look near seat
2026-08-28T10:00:52.151295Z mouse relative -100px X	return view toward route
2026-08-28T10:00:52.686763Z tap E	enter prompted driver seat
2026-08-28T10:01:17.463404Z hold W 10.0s	drive truck toward bounded route end
2026-08-28T10:01:33.902659Z hold W 4.0s	finish drive to route boundary
2026-08-28T10:01:44.537292Z tap E	exit at rear cargo threshold as prompted
2026-08-28T10:01:57.497512Z hold S 0.8s	step backward down rear ramp toward destination
2026-08-28T10:02:09.544872Z tap E	unload in prompted destination zone
2026-08-28T10:02:25.919312Z focus host window	observe authoritative completion state
2026-08-28T10:02:44.534448Z hold A 2.0s on host	attempt lateral movement into visible truck wall
