at	action
2026-08-28T15:20:28+00:00	focused-client:23068675
2026-08-28T15:20:28+00:00	tap:e
2026-08-28T15:20:29+00:00	tap:q
2026-08-28T15:20:30+00:00	tap:e
2026-08-28T15:20:31+00:00	mistake+recovery:e,q,e
2026-08-28T15:20:31+00:00	keydown:w
2026-08-28T15:20:33+00:00	keyup:w
2026-08-28T15:20:33+00:00	tap:e
2026-08-28T15:20:34+00:00	keydown:w
2026-08-28T15:20:49+00:00	keyup:w
2026-08-28T15:20:49+00:00	tap:e
2026-08-28T15:20:50+00:00	keydown:s
2026-08-28T15:20:51+00:00	keyup:s
2026-08-28T15:20:51+00:00	mousemove_relative:80 0
2026-08-28T15:20:51+00:00	tap:e
2026-08-28T15:20:54+00:00	done
