at	action
2026-08-28T15:21:25+00:00	focused-client:23068675
2026-08-28T15:21:25+00:00	tap:e
2026-08-28T15:21:26+00:00	click:capture-pointer
2026-08-28T15:21:26+00:00	mousemove_relative:1256 0
2026-08-28T15:21:27+00:00	keydown:w
2026-08-28T15:21:28+00:00	keyup:w
2026-08-28T15:21:28+00:00	mousemove_relative:1256 0
2026-08-28T15:21:29+00:00	keydown:a
2026-08-28T15:21:30+00:00	keyup:a
2026-08-28T15:21:30+00:00	keydown:w
2026-08-28T15:21:44+00:00	keyup:w
2026-08-28T15:21:44+00:00	keydown:d
2026-08-28T15:21:46+00:00	keyup:d
2026-08-28T15:21:47+00:00	tap:e
2026-08-28T15:21:51+00:00	done
