at	action
2026-08-28T11:41:02+00:00	focused-client:23068675
2026-08-28T11:41:02+00:00	tap:e
2026-08-28T11:41:03+00:00	tap:q
2026-08-28T11:41:04+00:00	tap:e
2026-08-28T11:41:05+00:00	click:capture-pointer
2026-08-28T11:41:05+00:00	mousemove_relative:1256 0
2026-08-28T11:41:06+00:00	keydown:w
2026-08-28T11:41:07+00:00	keyup:w
2026-08-28T11:41:07+00:00	mousemove_relative:1256 0
2026-08-28T11:41:08+00:00	keydown:a
2026-08-28T11:41:09+00:00	keyup:a
2026-08-28T11:41:09+00:00	keydown:w
2026-08-28T11:41:24+00:00	keyup:w
2026-08-28T11:41:24+00:00	keydown:d
2026-08-28T11:41:25+00:00	keyup:d
2026-08-28T11:41:26+00:00	tap:e
2026-08-28T11:41:30+00:00	done
