at	action
2026-08-28T11:38:54+00:00	focused-client:23068675
2026-08-28T11:38:54+00:00	tap:e
2026-08-28T11:38:55+00:00	click:capture-pointer
2026-08-28T11:38:55+00:00	mousemove_relative:1256 0
2026-08-28T11:38:56+00:00	keydown:w
2026-08-28T11:38:57+00:00	keyup:w
2026-08-28T11:38:57+00:00	mousemove_relative:1256 0
2026-08-28T11:38:58+00:00	keydown:a
2026-08-28T11:38:59+00:00	keyup:a
2026-08-28T11:38:59+00:00	keydown:w
2026-08-28T11:39:13+00:00	keyup:w
2026-08-28T11:39:13+00:00	keydown:d
2026-08-28T11:39:15+00:00	keyup:d
2026-08-28T11:39:16+00:00	tap:e
2026-08-28T11:39:20+00:00	done
