at	action
2026-08-28T11:39:36+00:00	focused-client:23068675
2026-08-28T11:39:36+00:00	tap:e
2026-08-28T11:39:37+00:00	tap:q
2026-08-28T11:39:38+00:00	tap:e
2026-08-28T11:39:39+00:00	mistake+recovery:e,q,e
2026-08-28T11:39:39+00:00	keydown:w
2026-08-28T11:39:41+00:00	keyup:w
2026-08-28T11:39:41+00:00	tap:e
2026-08-28T11:39:42+00:00	keydown:w
2026-08-28T11:39:57+00:00	keyup:w
2026-08-28T11:39:57+00:00	tap:e
2026-08-28T11:39:58+00:00	keydown:s
2026-08-28T11:39:59+00:00	keyup:s
2026-08-28T11:39:59+00:00	mousemove_relative:80 0
2026-08-28T11:39:59+00:00	tap:e
2026-08-28T11:40:02+00:00	done
