at	action
2026-08-28T11:26:31+00:00	focused-client:23068675
2026-08-28T11:26:31+00:00	tap:e
2026-08-28T11:26:32+00:00	click:capture-pointer
2026-08-28T11:26:32+00:00	mousemove_relative:1256 0
2026-08-28T11:26:32+00:00	keydown:w
2026-08-28T11:26:33+00:00	keyup:w
2026-08-28T11:26:33+00:00	mousemove_relative:1256 0
2026-08-28T11:26:34+00:00	keydown:a
2026-08-28T11:26:36+00:00	keyup:a
2026-08-28T11:26:36+00:00	keydown:w
2026-08-28T11:26:50+00:00	keyup:w
2026-08-28T11:26:50+00:00	keydown:d
2026-08-28T11:26:51+00:00	keyup:d
2026-08-28T11:26:52+00:00	tap:e
2026-08-28T11:26:56+00:00	done
