at	action
2026-08-28T11:25:58+00:00	focused-client:23068675
2026-08-28T11:25:58+00:00	tap:e
2026-08-28T11:25:59+00:00	tap:q
2026-08-28T11:26:00+00:00	tap:e
2026-08-28T11:26:01+00:00	mistake+recovery:e,q,e
2026-08-28T11:26:01+00:00	keydown:w
2026-08-28T11:26:03+00:00	keyup:w
2026-08-28T11:26:03+00:00	tap:e
2026-08-28T11:26:04+00:00	keydown:w
2026-08-28T11:26:19+00:00	keyup:w
2026-08-28T11:26:19+00:00	tap:e
2026-08-28T11:26:20+00:00	keydown:s
2026-08-28T11:26:21+00:00	keyup:s
2026-08-28T11:26:21+00:00	mousemove_relative:80 0
2026-08-28T11:26:21+00:00	tap:e
2026-08-28T11:26:24+00:00	done
